Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
170016T,American Honda Motor Co,BF 115 to BF 250,FUEL SYSTEM,,,Open,2542,31,L,HPS,PLC,,11/15/2017,,11/15/2017,,7/11/2022
20CG0034,RHINO ROTO MOLDING,Beavertail Final Attack,Max persons in pounds,Maximum weight capacity,VRHF6132G021,Open,5099,,,VRH,,2021,12/3/2020,,4/13/2021,,12/9/2022
22MF0454,Dometic (component),Steering Cable,,,VARIOUS,Open,33948,00,,111,,2022,8/26/2022,,9/9/2022,,9/9/2022
170008T,MERCURY MARINE,Verado 200/300 and Hi-Perf. 400R,ENGINE; GASOLINE,,2B403255,Open,504,,,,EJ,2017,6/9/2017,,6/9/2017,,6/9/2022
22MF0447,WHITE RIVER MARINE GROUP LLC,Various - see Docs,,,,Closed,0,,,BUJ,jlu,,,,9/8/2022,,9/8/2022
20SD0002,Dometic-SeaStar,HYDRAULIC HOSE,DYNAMIC INSTABILITY,,,Closed,508240,53,H,HQZ,LEN,2020,2/18/2020,3/8/2022,2/18/2020,,3/8/2022
21MF0547,Mercury - MotoGuide,,,,,Open,3066,00,,111,,2021,11/16/2021,,11/16/2021,,3/8/2022
190003S,Lund Boats,SSV-16,LEVEL FLOTATION,,,Open,238,11,H,LBB,PLC,,2/26/2019,,4/1/2019,,2/8/2022
190027T,LUND BOATS,"""189 TYEE, 189 PRO-V""",ENGINE MOUNT,,,Open,56,11,L,LBB,PLC,2019,4/12/2019,,4/18/2019,,2/8/2022
180005T,Lund Boat Company,"""189 Tyee GL, 189 Pro-V GL""",engine interference,,LBBBV1895J617,Open,110,11,,LBB,EAJ,,4/20/2018,,4/20/2018,,2/8/2022
190037T,MERCURY MARINE,DESIGN 2 JOYSTICK,DYNAMIC INSTABILITY,,,Open,23613,11,H,,LEN,,6/3/2019,,6/3/2019,,7/7/2022
21MF0344,YAMAHA MOTOR CORP USA,KPT/KXT 1800,,,YAMC0429C121,Open,30,12,,YAM,,2021,6/22/2021,,6/22/2021,,7/7/2022
